ivid,blue,green
MIA-090-007,671,332
MIA-090-010,154,76
MIA-090-014,635,310
MIA-090-015,594,319
MIA-090-017,652,321
MIA-090-016,537,330
MIA-090-018,121,37
MIA-090-019,160,78
MIA-120-001,1202,515
MIA-120-004,843,333
MIA-120-003,346,176
MIA-120-005,420,248
MIA-120-006,177,110
MIA-120-002,893,429
MIA-120-007,570,204
MIA-120-008,185,87
MIA-100-002,2201,888
MIA-100-004,744,264
MIA-100-005,623,247
MIA-100-003,849,368
MIA-100-006,586,177
MIA-100-001,552,131
MIA-100-007,1237,777
MIA-100-008,306,162
MIA-100-009,220,105
MIA-100-010,300,146
MIA-130-001,2116,871
MIA-130-004,1679,637
MIA-130-002,924,384
MIA-130-003,757,313
MIA-130-005,862,230
MIA-130-006,269,75
MIA-130-007,584,337
MIA-140-001,308,114
MIA-140-002,316,118
MIA-140-003,457,176
MIA-140-004,356,98
MIA-140-007,522,188
MIA-140-006,250,96
MIA-140-005,297,103
MIA-140-008,616,199
MIA-140-009,366,133
MIA-030-001,441,368
MIA-030-002,820,565
MIA-030-003,692,535
MIA-030-024,779,444
MIA-030-005,332,179
MIA-030-004,689,357
MIA-030-006,1104,653
MIA-030-014,807,424
MIA-030-015,234,100
MIA-030-016,503,144
MIA-030-017,215,70
MIA-030-018,363,166
MIA-030-007,320,172
MIA-030-008,368,304
MIA-030-009,321,229
MIA-030-010,284,157
MIA-030-011,576,292
MIA-030-012,611,305
MIA-030-013,669,373
MIA-030-019,982,464
MIA-030-020,372,411
MIA-030-021,335,182
MIA-030-022,488,279
MIA-030-023,279,196
MIA-020-001,760,519
MIA-020-002,568,532
MIA-020-003,299,288
MIA-020-004,478,452
MIA-020-005,381,397
MIA-020-006,668,553
MIA-020-007,397,346
MIA-020-008,936,596
MIA-020-009,1267,1064
MIA-020-010,744,560
MIA-020-011,352,293
MIA-020-012,240,208
MIA-020-013,563,320
MIA-020-014,469,504
MIA-020-015,682,470
MIA-020-016,481,356
MIA-020-017,231,197
MIA-020-018,394,237
MIA-020-023,220,224
MIA-020-020,553,507
MIA-020-021,657,384
MIA-020-022,592,462
MIA-020-019,795,646
MIA-020-024,574,365
MIA-020-025,660,431
MIA-060-001,636,239
MIA-060-002,380,199
MIA-060-003,649,284
MIA-060-004,1708,615
MIA-060-005,1113,331
MIA-060-006,527,232
MIA-060-007,449,148
MIA-060-008,1191,471
MIA-060-009,780,173
MIA-060-010,339,170
MIA-060-011,648,238
MIA-060-012,649,320
MIA-060-013,381,432
MIA-060-014,379,255
MIA-060-015,535,141
MIA-060-016,411,168
MIA-060-017,303,149
MIA-060-018,392,244
MIA-060-019,205,155
MIA-060-020,422,358
MIA-060-021,395,154
MIA-060-022,501,142
MIA-060-023,518,223
MIA-150-001,946,326
MIA-150-002,267,71
MIA-150-003,506,171
MIA-150-004,1695,733
MIA-150-005,265,109
MIA-150-006,241,106
MIA-150-007,632,335
MIA-150-008,324,184
MIA-150-009,428,220
MIA-040-001,622,530
MIA-040-002,835,783
MIA-040-003,766,680
MIA-040-004,1156,791
MIA-040-005,1230,1024
MIA-040-006,971,839
MIA-040-007,1120,740
MIA-040-008,1062,755
MIA-040-009,1958,1329
MIA-040-010,1117,784
MIA-040-023,931,697
MIA-040-011,367,302
MIA-040-012,888,642
MIA-040-013,527,397
MIA-040-014,700,512
MIA-040-015,229,196
MIA-040-016,1004,802
MIA-040-017,549,660
MIA-040-018,494,241
MIA-040-019,974,981
MIA-040-020,832,540
MIA-040-021,1067,804
MIA-040-022,310,323
MIA-050-001,950,386
MIA-050-002,791,364
MIA-050-003,1249,576
MIA-050-004,1610,652
MIA-050-005,1378,607
MIA-050-006,1149,451
MIA-050-007,335,187
MIA-050-008,1237,481
MIA-050-030,706,332
MIA-050-009,1240,458
MIA-050-010,603,326
MIA-050-011,283,158
MIA-050-012,413,270
MIA-050-020,632,224
MIA-050-021,915,417
MIA-050-016,1259,544
MIA-050-031,1786,793
MIA-050-015,1123,629
MIA-050-028,1232,531
MIA-050-029,1322,495
MIA-050-017,1583,597
MIA-050-014,1036,433
MIA-050-013,713,285
MIA-050-026,682,374
MIA-050-027,835,344
MIA-050-018,1133,518
MIA-050-019,587,343
MIA-050-022,626,211
MIA-050-024,452,156
MIA-050-023,1187,488
MIA-050-025,954,331
MIA-160-001,1037,460
MIA-160-002,295,133
MIA-160-003,426,144
MIA-160-004,135,39
MIA-160-005,221,112
MIA-160-006,267,145
MIA-160-007,205,112
MIA-160-008,186,80
MIA-110-001,642,178
MIA-110-002,351,103
MIA-110-003,745,153
MIA-110-004,375,150
MIA-110-005,385,174
MIA-110-006,512,179
MIA-110-007,460,277
MIA-110-008,511,95
MIA-110-009,580,86
MIA-080-001,756,329
MIA-080-002,311,165
MIA-080-006,507,279
MIA-080-003,813,334
MIA-080-004,633,264
MIA-080-005,243,84
MIA-080-007,278,152
MIA-080-009,306,158
MIA-080-010,238,107
MIA-080-008,587,392
MIA-080-011,400,235
MIA-080-012,343,267
MIA-170-001,197,65
MIA-170-002,263,193
MIA-170-003,381,333
MIA-170-004,233,171
MIA-170-005,308,114
MIA-170-006,206,78
MIA-170-007,375,204
MIA-070-007,776,790
MIA-070-008,427,410
MIA-070-001,308,292
MIA-070-002,575,545
MIA-070-004,492,217
MIA-070-005,288,108
MIA-070-010,302,223
MIA-070-003,741,670
MIA-070-009,745,708
MIA-070-011,374,233
MIA-070-006,296,178
MIA-180-001,156,49
MIA-180-002,620,166
MIA-180-003,513,166
MIA-180-004,303,43
MIA-180-005,315,75
MIA-180-006,323,42
MIA-180-007,401,103
MIA-180-008,412,16
CHA-010-032,1081,570
CHA-010-034,525,440
CHA-010-038,497,435
CHA-010-037,745,427
CHA-010-035,301,310
CHA-010-036,466,420
CHA-010-033,883,491
CHA-010-014,224,245
CHA-010-013,277,272
CHA-010-015,259,252
CHA-010-012,496,414
CHA-010-011,271,191
CHA-010-010,771,489
CHA-010-048,962,498
CHA-010-045,485,421
CHA-010-046,719,367
CHA-010-047,2436,1781
CHA-010-041,1560,1232
CHA-010-042,1969,1457
CHA-010-040,567,388
CHA-010-049,403,295
CHA-010-043,1006,786
CHA-010-044,1015,848
CHA-010-017,283,281
CHA-010-018,308,286
CHA-010-019,422,356
CHA-010-016,254,313
CHA-010-020,992,836
CHA-010-025,335,380
CHA-010-021,1118,728
CHA-010-023,1041,749
CHA-010-022,432,347
CHA-010-024,1228,825
CHA-010-031,1296,994
CHA-010-072,1659,1200
CHA-010-073,1405,888
CHA-010-029,1016,703
CHA-010-028,593,435
CHA-010-027,736,546
CHA-010-026,1089,859
CHA-010-030,1059,764
CHA-010-008,1481,1182
CHA-010-009,612,470
CHA-010-003,556,454
CHA-010-004,300,258
CHA-010-005,480,357
CHA-010-001,477,373
CHA-010-006,593,526
CHA-010-007,1467,931
CHA-010-002,1568,1043
CHA-010-060,312,256
CHA-010-061,845,653
CHA-010-059,487,267
CHA-010-063,773,673
CHA-010-062,2459,1686
CHA-010-065,872,578
CHA-010-064,1490,1031
CHA-010-056,747,695
CHA-010-051,617,421
CHA-010-053,892,798
CHA-010-054,1036,883
CHA-010-071,1657,868
CHA-010-058,915,636
CHA-010-055,2310,1765
CHA-010-052,535,446
CHA-010-057,393,357
CHA-010-050,1044,812
CHA-010-069,323,272
CHA-010-070,381,272
CHA-010-068,296,246
CHA-010-067,417,418
CHA-010-066,431,308
CHA-080-001,1153,796
CHA-080-002,613,525
CHA-080-003,940,592
CHA-080-004,323,404
CHA-080-005,509,465
CHA-080-006,629,397
CHA-080-007,220,225
CHA-080-008,624,469
CHA-080-009,1666,1068
CHA-080-010,990,640
CHA-080-011,1501,904
CHA-080-012,484,354
CHA-080-013,1220,687
CHA-080-014,404,196
CHA-080-015,383,239
CHA-080-016,757,375
CHA-080-017,611,332
CHA-080-018,605,353
CHA-090-001,679,544
CHA-090-002,533,497
CHA-090-003,749,552
CHA-090-015,212,227
CHA-090-004,940,806
CHA-090-005,794,788
CHA-090-006,605,580
CHA-090-007,324,352
CHA-090-011,353,350
CHA-090-008,315,485
CHA-090-009,230,260
CHA-090-010,462,667
CHA-090-012,394,512
CHA-090-013,364,352
CHA-090-014,270,432
CHA-020-001,305,347
CHA-020-002,122,160
CHA-020-003,234,297
CHA-020-004,261,267
CHA-020-017,248,400
CHA-020-018,585,601
CHA-020-013,354,331
CHA-020-014,91,71
CHA-020-016,194,190
CHA-020-015,215,228
CHA-020-012,379,337
CHA-020-009,176,187
CHA-020-010,216,341
CHA-020-011,322,424
CHA-020-008,937,1353
CHA-020-029,1288,1117
CHA-020-007,966,1215
CHA-020-005,1883,1799
CHA-020-006,1449,1336
CHA-020-021,1329,874
CHA-020-027,666,511
CHA-020-026,1045,878
CHA-020-028,863,698
CHA-020-023,1129,793
CHA-020-025,1014,1013
CHA-020-024,819,494
CHA-020-020,881,650
CHA-020-019,1280,789
CHA-020-022,1579,906
CHA-070-001,592,527
CHA-070-002,545,532
CHA-070-003,893,599
CHA-070-005,525,302
CHA-070-004,663,498
CHA-070-006,1304,952
CHA-070-007,951,862
CHA-070-008,857,665
CHA-070-009,455,354
CHA-070-010,1430,1030
CHA-070-011,674,542
CHA-070-012,476,485
CHA-070-013,436,554
CHA-070-014,731,618
CHA-030-001,1483,1103
CHA-030-002,1235,845
CHA-030-003,168,114
CHA-030-004,537,345
CHA-030-005,1008,668
CHA-030-006,735,572
CHA-030-007,591,326
CHA-030-008,297,205
CHA-030-009,643,410
CHA-030-010,762,735
CHA-030-011,530,281
CHA-030-012,632,431
CHA-030-013,587,500
CHA-030-014,401,356
CHA-030-015,1387,956
CHA-030-032,716,445
CHA-030-016,695,363
CHA-030-018,547,433
CHA-030-017,892,608
CHA-030-019,982,751
CHA-030-020,226,350
CHA-030-021,706,551
CHA-030-022,691,594
CHA-030-023,309,353
CHA-030-024,690,785
CHA-030-025,1048,670
CHA-030-026,658,333
CHA-030-027,337,226
CHA-030-028,269,439
CHA-030-029,618,456
CHA-030-030,1038,744
CHA-030-031,533,394
CHA-050-010,1727,1068
CHA-050-011,868,289
CHA-050-012,591,370
CHA-050-007,716,418
CHA-050-008,765,278
CHA-050-004,590,442
CHA-050-009,900,475
CHA-050-005,826,434
CHA-050-006,476,355
CHA-050-001,562,514
CHA-050-002,317,417
CHA-050-003,404,288
CHA-050-013,898,553
CHA-050-014,941,540
CHA-040-001,994,409
CHA-040-002,550,259
CHA-040-003,881,489
CHA-040-004,546,307
CHA-040-005,496,260
CHA-040-006,719,443
CHA-040-007,992,530
CHA-040-008,583,267
CHA-100-001,387,221
CHA-100-002,815,599
CHA-100-003,904,633
CHA-100-004,766,641
CHA-100-005,253,208
CHA-100-006,831,594
CHA-100-007,277,248
CHA-100-008,216,200
CHA-100-009,552,430
CHA-100-010,1578,1305
CHA-100-011,749,597
CHA-100-012,1226,989
CHA-100-013,1159,956
CHA-100-014,1445,993
CHA-100-015,489,474
CHA-100-016,630,541
CHA-100-040,413,337
CHA-100-041,659,486
CHA-100-017,664,576
CHA-100-018,1625,1088
CHA-100-019,818,657
CHA-100-037,801,600
CHA-100-038,620,468
CHA-100-039,645,546
CHA-100-020,571,468
CHA-100-021,639,619
CHA-100-022,866,628
CHA-100-023,645,607
CHA-100-024,1089,758
CHA-100-025,817,520
CHA-100-026,804,584
CHA-100-027,657,720
CHA-100-028,456,525
CHA-100-029,308,421
CHA-100-030,292,172
CHA-100-031,693,521
CHA-100-032,702,539
CHA-100-033,463,653
CHA-100-034,532,518
CHA-100-035,475,362
CHA-100-036,735,693
CHA-130-001,981,635
CHA-130-002,597,427
CHA-130-004,400,252
CHA-130-009,598,381
CHA-130-010,522,431
CHA-130-013,552,455
CHA-130-005,379,325
CHA-130-003,468,374
CHA-130-014,860,671
CHA-130-006,1019,452
CHA-130-012,807,382
CHA-130-011,539,331
CHA-130-007,975,699
CHA-130-015,743,465
CHA-130-016,618,495
CHA-130-008,801,614
CHA-160-001,307,237
CHA-160-002,484,417
CHA-160-003,664,529
CHA-160-004,663,564
CHA-160-005,565,465
CHA-160-006,466,378
CHA-160-007,299,353
CHA-160-008,381,203
CHA-160-009,761,596
CHA-160-010,425,428
CHA-160-011,438,293
CHA-160-012,455,472
CHA-160-013,541,512
CHA-160-014,580,465
CHA-160-015,396,406
CHA-160-016,260,301
CHA-160-017,280,183
CHA-160-018,250,269
CHA-160-019,269,220
CHA-160-020,342,234
CHA-160-021,334,231
CHA-160-022,287,180
CHA-160-023,497,230
CHA-160-024,387,485
CHA-110-001,457,370
CHA-110-002,236,215
CHA-110-003,543,395
CHA-110-004,169,126
CHA-110-005,1145,701
CHA-110-006,774,495
CHA-110-007,980,732
CHA-110-008,434,398
CHA-110-009,829,816
CHA-110-010,816,654
CHA-110-011,716,515
CHA-110-012,260,306
CHA-110-013,611,578
CHA-110-014,823,720
CHA-110-015,325,249
CHA-110-016,344,459
CHA-110-017,613,453
CHA-110-018,1382,1101
CHA-110-019,245,137
CHA-110-020,538,337
CHA-110-021,262,247
CHA-110-022,502,328
CHA-110-023,391,422
CHA-110-024,832,485
CHA-110-025,546,464
CHA-140-001,580,369
CHA-140-002,597,395
CHA-140-003,569,293
CHA-140-004,413,211
CHA-140-005,660,526
CHA-140-006,326,277
CHA-140-007,459,386
CHA-140-008,471,308
CHA-140-009,314,177
CHA-140-010,492,324
CHA-140-011,698,289
CHA-140-012,805,511
CHA-140-013,490,346
CHA-140-014,176,69
CHA-140-015,403,255
CHA-140-016,318,239
CHA-140-017,457,438
CHA-140-018,449,212
CHA-140-019,631,396
CHA-140-020,711,230
CHA-140-021,567,281
CHA-140-022,606,225
CHA-150-001,914,875
CHA-150-002,346,363
CHA-150-003,499,368
CHA-150-004,423,307
CHA-150-005,549,511
CHA-150-006,539,497
CHA-150-007,396,452
CHA-150-009,533,621
CHA-150-008,505,520
CHA-150-010,193,160
CHA-150-011,410,317
CHA-150-012,419,413
CHA-150-013,286,257
CHA-150-014,313,283
CHA-150-016,493,559
CHA-150-015,411,438
CHA-150-018,308,276
CHA-150-017,373,489
CHA-150-019,268,260
CHA-150-020,396,218
CHA-120-001,271,229
CHA-120-002,523,189
CHA-120-003,237,154
CHA-120-004,579,349
CHA-120-005,506,371
CHA-120-006,456,306
CHA-120-009,1280,669
CHA-120-008,241,172
CHA-120-007,570,395
CHA-120-010,763,600
CHA-120-011,354,288
CHA-120-012,493,329
CHA-120-013,721,471
CHA-120-014,741,541
CHA-120-015,565,413
CHA-120-016,388,355
CHA-120-017,581,345
CHA-120-018,1371,885
CHA-120-019,397,376
CHA-120-020,623,301
CHA-120-021,340,243
CHA-120-022,230,291
CHA-170-001,787,810
CHA-170-004,1189,1220
CHA-170-007,827,672
CHA-170-010,266,174
CHA-170-013,353,311
CHA-170-016,393,294
CHA-170-019,404,493
CHA-170-022,311,292
CHA-170-002,486,415
CHA-170-005,290,251
CHA-170-008,697,571
CHA-170-011,439,428
CHA-170-014,403,357
CHA-170-017,379,348
CHA-170-020,266,284
CHA-170-023,418,246
CHA-170-003,246,419
CHA-170-006,387,310
CHA-170-009,223,161
CHA-170-012,320,221
CHA-170-015,327,226
CHA-170-018,231,253
CHA-170-021,364,378
CHA-170-024,574,558
CHA-180-016,281,458
CHA-180-017,220,276
CHA-180-001,259,268
CHA-180-002,295,380
CHA-180-003,232,236
CHA-180-004,206,236
CHA-180-005,363,307
CHA-180-006,417,297
CHA-180-007,337,289
CHA-180-008,222,134
CHA-180-009,360,375
CHA-180-010,245,341
CHA-180-011,227,339
CHA-180-012,293,257
CHA-180-013,175,285
CHA-180-014,230,188
CHA-180-015,197,196
CHA-190-012,745,872
CHA-190-013,608,657
CHA-190-010,1613,1281
CHA-190-011,578,495
CHA-190-001,621,400
CHA-190-002,321,237
CHA-190-003,187,218
CHA-190-004,251,253
CHA-190-005,447,491
CHA-190-006,555,340
CHA-190-007,605,592
CHA-190-008,925,673
CHA-190-009,431,359
CHA-190-014,718,510
CHA-190-015,645,360
CHA-210-001,489,323
CHA-210-002,300,192
CHA-210-003,908,570
CHA-210-011,510,440
CHA-210-010,434,407
CHA-210-004,437,290
CHA-210-009,448,378
CHA-210-007,399,298
CHA-210-008,232,204
CHA-210-005,319,236
CHA-210-006,410,356
CHA-210-012,437,385
CHA-210-013,585,519
CHA-210-014,416,242
CHA-210-015,380,255
CHA-210-016,563,406
CHA-210-017,665,490
CHA-210-018,121,76
CHA-210-019,220,228
CHA-210-020,308,268
CHA-220-001,761,723
CHA-220-002,592,440
CHA-220-003,508,532
CHA-220-004,923,467
CHA-220-005,405,310
CHA-220-006,444,461
CHA-220-007,1142,798
CHA-220-008,589,514
CHA-220-009,193,223
CHA-220-010,171,215
CHA-220-011,563,456
CHA-220-012,235,482
CHA-220-013,217,287
CHA-220-014,232,341
CHA-220-015,381,463
CHA-220-016,216,406
CHA-220-017,246,397
CHA-260-001,410,658
CHA-260-005,169,276
CHA-260-008,207,401
CHA-260-011,444,553
CHA-260-014,449,550
CHA-260-017,526,713
CHA-260-002,348,589
CHA-260-006,475,556
CHA-260-009,597,717
CHA-260-012,539,554
CHA-260-015,586,629
CHA-260-018,354,143
CHA-260-003,430,282
CHA-260-007,260,302
CHA-260-010,191,225
CHA-260-013,246,330
CHA-260-016,333,468
CHA-260-019,159,428
CHA-260-004,223,634
CHA-200-001,775,656
CHA-200-002,1319,788
CHA-200-003,514,376
CHA-200-004,1108,824
CHA-200-005,739,408
CHA-200-006,470,517
CHA-200-007,372,427
CHA-200-008,427,351
CHA-200-009,500,281
CHA-200-010,620,387
CHA-200-011,1106,725
CHA-200-012,876,640
CHA-200-013,561,379
CHA-200-014,681,460
CHA-200-015,593,380
CHA-200-016,364,208
CHA-200-017,565,548
CHA-200-018,425,507
CHA-200-019,484,341
CHA-200-020,1537,832
CHA-200-022,596,309
CHA-200-021,488,266
CHA-200-023,388,288
CHA-200-024,499,419
CHA-200-025,476,271
CHA-200-026,401,350
CHA-200-027,300,251
CHA-240-001,373,510
CHA-240-007,506,333
CHA-240-004,328,225
CHA-240-003,599,309
CHA-240-005,489,247
CHA-240-002,428,335
CHA-240-008,275,160
CHA-240-010,445,222
CHA-240-014,311,309
CHA-240-015,197,177
CHA-240-006,479,237
CHA-240-012,609,248
CHA-240-013,496,252
CHA-240-009,269,256
CHA-240-011,298,357
CHA-230-001,297,210
CHA-230-002,117,128
CHA-230-003,256,199
CHA-230-004,174,122
CHA-230-005,370,160
CHA-230-006,536,480
CHA-230-007,366,344
CHA-230-014,187,253
CHA-230-009,222,161
CHA-230-010,263,128
CHA-230-011,283,250
CHA-230-012,158,163
CHA-230-013,171,117
CHA-230-015,348,794
CHA-230-016,194,285
CHA-230-017,199,282
CHA-230-019,258,525
CHA-230-018,126,292
CHA-230-020,381,482
CHA-230-008,123,99
CHA-230-021,429,339
CHA-230-023,574,495
CHA-230-024,267,154
CHA-230-022,334,283
CHA-230-025,318,351
CHA-230-026,775,772
CHA-250-001,434,363
CHA-250-002,768,563
CHA-250-003,334,204
CHA-250-004,329,203
CHA-250-005,401,741
CHA-250-006,197,262
CHA-250-007,385,356
CHA-250-008,351,447
CHA-250-009,158,226
CHA-250-010,287,319
CHA-250-011,224,245
CHA-250-012,158,271
CHA-250-013,189,311
CHA-250-014,149,251
NAN-010-001,222,321
NAN-010-002,362,390
NAN-010-003,285,195
NAN-010-004,135,175
NAN-010-005,174,190
NAN-010-006,97,153
NAN-010-007,273,295
NAN-010-015,1365,1084
NAN-010-016,897,750
NAN-010-017,532,709
NAN-010-018,1065,1024
NAN-010-012,1529,1553
NAN-010-013,541,756
NAN-010-014,277,302
NAN-010-010,1234,1118
NAN-010-011,125,114
NAN-010-028,732,544
NAN-010-027,1921,929
NAN-010-029,1804,1301
NAN-010-030,456,420
NAN-010-034,228,75
NAN-010-032,627,138
NAN-010-033,679,123
NAN-010-031,549,101
NAN-010-008,685,696
NAN-010-009,1857,1563
NAN-010-023,1335,1054
NAN-010-024,1051,1155
NAN-010-025,758,701
NAN-010-026,795,854
NAN-010-022,329,422
NAN-010-020,274,229
NAN-010-021,147,278
NAN-010-019,576,628
NAN-020-001,824,808
NAN-020-031,787,695
NAN-020-010,2044,1552
NAN-020-011,1114,766
NAN-020-012,331,261
NAN-020-013,303,277
NAN-020-014,371,233
NAN-020-003,939,848
NAN-020-002,252,317
NAN-020-004,708,624
NAN-020-030,1019,755
NAN-020-032,828,686
NAN-020-033,697,496
NAN-020-027,351,376
NAN-020-028,760,614
NAN-020-005,689,629
NAN-020-007,1091,933
NAN-020-006,344,384
NAN-020-008,1743,1399
NAN-020-009,180,431
NAN-020-015,337,238
NAN-020-016,104,90
NAN-020-017,435,298
NAN-020-018,480,316
NAN-020-019,540,357
NAN-020-020,467,310
NAN-020-021,260,166
NAN-020-022,490,185
NAN-020-029,511,481
NAN-020-023,322,344
NAN-020-024,248,151
NAN-020-025,246,316
NAN-020-026,712,830
NAN-030-001,719,448
NAN-030-026,1272,891
NAN-030-002,683,517
NAN-030-024,261,186
NAN-030-003,360,341
NAN-030-025,713,633
NAN-030-004,2011,1469
NAN-030-005,2293,1411
NAN-030-027,1022,682
NAN-030-012,1074,694
NAN-030-009,1400,938
NAN-030-010,820,522
NAN-030-011,939,720
NAN-030-007,1932,1317
NAN-030-008,1374,1055
NAN-030-013,1123,721
NAN-030-016,805,646
NAN-030-015,509,347
NAN-030-014,775,808
NAN-030-006,1748,1338
NAN-030-017,683,533
NAN-030-018,630,669
NAN-030-019,1426,912
NAN-030-021,406,238
NAN-030-020,633,340
NAN-030-023,463,224
NAN-030-022,946,496
NAN-040-001,664,606
NAN-040-002,265,152
NAN-040-003,1364,1240
NAN-040-004,1043,874
NAN-040-028,686,612
NAN-040-007,1061,1045
NAN-040-006,418,296
NAN-040-008,214,436
NAN-040-009,394,377
NAN-040-026,221,263
NAN-040-019,159,103
NAN-040-014,1400,1226
NAN-040-027,1028,995
NAN-040-012,536,519
NAN-040-011,788,917
NAN-040-013,259,221
NAN-040-015,478,556
NAN-040-016,312,390
NAN-040-017,346,440
NAN-040-018,251,184
NAN-040-020,193,182
NAN-040-005,437,513
NAN-040-010,294,281
NAN-040-021,239,157
NAN-040-022,246,248
NAN-040-024,142,148
NAN-040-023,188,172
NAN-040-025,264,266
NAN-050-001,356,235
NAN-050-002,267,249
NAN-050-003,125,185
NAN-050-004,346,287
NAN-050-005,140,182
NAN-050-006,136,138
NAN-050-007,292,244
NAN-050-008,453,392
NAN-050-009,276,245
NAN-050-011,217,161
NAN-050-010,135,64
NAN-060-001,351,331
NAN-060-002,1099,940
NAN-060-003,734,672
NAN-060-004,476,503
NAN-060-006,311,368
NAN-060-005,376,315
NAN-060-007,1174,1307
